"Date","Order ID","SKU","Transaction type","Payment Type","Payment Detail","Amount",,"Quantity","Product Title"
"28-Mar-16","105-1835301-5492261","0I-XXS8-8MCZ","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Silver,)"
"28-Mar-16","105-1835301-5492261","0I-XXS8-8MCZ","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Silver,)"
"28-Mar-16","105-1835301-5492261","0I-XXS8-8MCZ","Order Payment","Amazon fees","FBA Weight Handling Fee","($0.96)",,,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Silver,)"
"28-Mar-16","105-1835301-5492261","0I-XXS8-8MCZ","Order Payment","Amazon fees","Referral Fee on Item Price","($2.40)",,,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Silver,)"
"28-Mar-16","105-1835301-5492261","0I-XXS8-8MCZ","Order Payment","Product charges",,"$15.99 ","10.57","1","Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Silver,)"
"28-Mar-16","114-7457046-3325869","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"28-Mar-16","114-7457046-3325869","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"28-Mar-16","114-7457046-3325869","22-Q94M-YDGP","Order Payment","Amazon fees","Referral Fee on Item Price","($4.50)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"28-Mar-16","114-7457046-3325869","22-Q94M-YDGP","Order Payment","Product charges",,"$29.99 ","17.78","1","Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"27-Mar-16","103-3259315-8056246","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"27-Mar-16","103-3259315-8056246","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"27-Mar-16","103-3259315-8056246","22-Q94M-YDGP","Order Payment","Amazon fees","Referral Fee on Item Price","($4.50)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"27-Mar-16","103-3259315-8056246","22-Q94M-YDGP","Order Payment","Product charges",,"$29.99 ","17.78","1","Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"27-Mar-16","110-8341445-3139461","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"27-Mar-16","110-8341445-3139461","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"27-Mar-16","110-8341445-3139461","BQ-4FEP-C3OH","Order Payment","Amazon fees","Referral Fee on Item Price","($3.75)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"27-Mar-16","110-8341445-3139461","BQ-4FEP-C3OH","Order Payment","Product charges",,"$24.99 ","13.53","1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"27-Mar-16","113-4479710-4581857","2O-P69W-826P","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","113-4479710-4581857","2O-P69W-826P","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","113-4479710-4581857","2O-P69W-826P","Order Payment","Amazon fees","FBA Weight Handling Fee","($2.34)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","113-4479710-4581857","2O-P69W-826P","Order Payment","Amazon fees","Referral Fee on Item Price","($2.55)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","113-4479710-4581857","2O-P69W-826P","Order Payment","Product charges",,"$16.99 ","10.04","1","Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","105-9451771-3080248","2O-P69W-826P","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","105-9451771-3080248","2O-P69W-826P","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","105-9451771-3080248","2O-P69W-826P","Order Payment","Amazon fees","FBA Weight Handling Fee","($2.34)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!"
