Date,Order ID,SKU,Transaction type,Payment Type,Payment Detail,Amount,Quantity,Product Title
31-Mar-16,106-5220251-4619400,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,106-5220251-4619400,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,106-5220251-4619400,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,106-5220251-4619400,22-Q94M-YDGP,Order Payment,Product charges,,$29.99,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,106-5220251-4619400,22-Q94M-YDGP,Order Payment,Promo rebates,,$0.00,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,106-5220251-4619400,22-Q94M-YDGP,Order Payment,Promo rebates,Shipping,-$2.78,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,106-5220251-4619400,22-Q94M-YDGP,Order Payment,Other,Shipping,$2.78,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,114-3273358-3970656,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,114-3273358-3970656,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,114-3273358-3970656,BQ-4FEP-C3OH,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,114-3273358-3970656,BQ-4FEP-C3OH,Order Payment,Product charges,,$29.99,1,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,102-5255757-6027411,22-Q94M-YDGP,Refund,Amazon fees,Referral Fee on Item Price,$4.50,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,102-5255757-6027411,22-Q94M-YDGP,Refund,Amazon fees,Refund Administration Fee,-$0.90,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,102-5255757-6027411,22-Q94M-YDGP,Refund,Product charges,,-$29.99,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,105-6727463-4406623,BQ-4FEP-C3OH,Refund,Amazon fees,Referral Fee on Item Price,$3.75,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,105-6727463-4406623,BQ-4FEP-C3OH,Refund,Amazon fees,Refund Administration Fee,-$0.75,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,105-6727463-4406623,BQ-4FEP-C3OH,Refund,Product charges,,-$24.99,1,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,108-9414780-0370629,IM-VFRS-GRIO,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Humanscale Zon Air Purifier in Red
31-Mar-16,108-9414780-0370629,IM-VFRS-GRIO,Order Payment,Amazon fees,FBA Weight Handling Fee,-$8.69,,Humanscale Zon Air Purifier in Red
31-Mar-16,108-9414780-0370629,IM-VFRS-GRIO,Order Payment,Amazon fees,Referral Fee on Item Price,-$7.05,,Humanscale Zon Air Purifier in Red
