"Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Promo rebates - ","Promo rebates - Shipping","Other - Shipping","Amazon fees - Refund Administration Fee","Amazon fees - FBA Order Handling Fee","Amazon fees - Shipping Chargeback","Amazon fees - FBA Amazon-Partnered Carrier Shipment Fee","Amazon fees - Subscription Fee","FBA Inventory Reimbursement - Damaged:Warehouse - ","Amazon fees - FBA transportation fee","FBA Inventory Reimbursement - Lost:Warehouse - ","Amazon fees - Shipping commission","Amazon fees - FBA Inventory Storage Fee"
-$4.09,-$3.62,-$4.50,31-Mar-16,106-5220251-4619400,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",$0.00,-$2.78,$2.78,,,,,,,,,,
-$4.09,-$3.62,-$4.50,31-Mar-16,114-3273358-3970656,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,,$4.50,31-Mar-16,102-5255757-6027411,22-Q94M-YDGP,Refund,"Product charges",,-$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,-$0.90,,,,,,,,,
,,$3.75,31-Mar-16,105-6727463-4406623,BQ-4FEP-C3OH,Refund,"Product charges",,-$24.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,-$0.75,,,,,,,,,
-$4.09,-$8.69,-$7.05,31-Mar-16,108-9414780-0370629,IM-VFRS-GRIO,"Order Payment","Product charges",,$46.99,1,"Humanscale Zon Air Purifier in Red",$0.00,-$14.57,$14.57,,,,,,,,,,
-$1.06,-$0.96,-$1.42,31-Mar-16,103-4924118-9661064,0I-XXS3-8MCZ,"Order Payment","Product charges",,$18.99,1,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Gold)",-$9.50,,,,-$1.00,,,,,,,,
-$4.09,-$3.62,-$4.50,31-Mar-16,105-3932702-6507457,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,,$3.00,31-Mar-16,112-2401440-6788221,BQ-4FEP-C3OH,Refund,"Product charges",,-$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,-$0.60,,,,,,,,,
-$4.09,-$3.62,-$4.50,31-Mar-16,112-3114133-9378663,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$4.09,-$3.62,-$4.50,31-Mar-16,115-4228492-1778603,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
