"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - Shipping Chargeback","Other - Shipping","Promo rebates - ","Amazon fees - FBA Amazon-Partnered Carrier Shipment Fee","Amazon fees - Subscription Fee","Promo rebates - Shipping","Amazon fees - Refund Administration Fee","FBA Inventory Reimbursement - Damaged:Warehouse - ","Amazon fees - FBA transportation fee","FBA Inventory Reimbursement - Lost:Warehouse - ","Amazon fees - Shipping commission","Amazon fees - FBA Inventory Storage Fee","Amazon fees - FBA Removal Order: Return Fee"
-$1.00,-$1.06,-$0.96,-$2.40,28-Mar-16,105-1835301-5492261,0I-XXS8-8MCZ,"Order Payment","Product charges",,"$15.99 ",1,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Silver,)",,,,,,,,,,,,,
,-$4.09,-$3.62,-$4.50,28-Mar-16,114-7457046-3325869,22-Q94M-YDGP,"Order Payment","Product charges",,"$29.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,-$4.09,-$3.62,-$4.50,27-Mar-16,103-3259315-8056246,22-Q94M-YDGP,"Order Payment","Product charges",,"$29.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,27-Mar-16,110-8341445-3139461,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$2.55,27-Mar-16,113-4479710-4581857,2O-P69W-826P,"Order Payment","Product charges",,"$16.99 ",1,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!",,,,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$2.55,27-Mar-16,105-9451771-3080248,2O-P69W-826P,"Order Payment","Product charges",,"$16.99 ",1,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!",,,,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$2.85,27-Mar-16,113-4718747-5161000,H1-IGX2-R0XD,"Order Payment","Product charges",,"$18.99 ",1,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!",-$7.68,"$7.68 ",,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$2.55,27-Mar-16,106-1794776-5473054,2O-P69W-826P,"Order Payment","Product charges",,"$16.99 ",1,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,27-Mar-16,114-5324565-9474629,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,27-Mar-16,109-2046327-6002648,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$8.18,-$8.02,-$4.50,27-Mar-16,116-4642191-0848258,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$59.98 ",2,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$29.99,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.87,27-Mar-16,111-5425280-2638624,7W-PCJO-3BVK,"Order Payment","Product charges",,"$24.99 ",1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)",-$5.55,"$5.55 ",-$12.50,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.35,27-Mar-16,115-1185381-7469828,FV-XXFT-7P69,"Order Payment","Product charges",,"$8.99 ",1,"My Little Pony Soft Tote Lunch Box",,,,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,27-Mar-16,113-6807343-8573834,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$3.62,-$4.50,26-Mar-16,114-3798482-8674607,22-Q94M-YDGP,"Order Payment","Product charges",,"$29.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$1.00,-$1.06,-$2.34,-$2.85,26-Mar-16,115-7464352-9549053,H1-IGX2-R0XD,"Order Payment","Product charges",,"$18.99 ",1,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!",,,,,,,,,,,,,
,-$8.18,-$7.24,-$9.00,26-Mar-16,102-2527454-6560238,22-Q94M-YDGP,"Order Payment","Product charges",,"$59.98 ",2,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.35,26-Mar-16,111-5100305-4027453,FV-XXFT-7P69,"Order Payment","Product charges",,"$8.99 ",1,"My Little Pony Soft Tote Lunch Box",,,,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,26-Mar-16,102-5889047-8700257,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,26-Mar-16,002-2557573-6369856,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$3.99,"$3.99 ",,,,,,,,,,,
,-$4.09,-$3.62,-$4.50,26-Mar-16,112-5686813-7721069,22-Q94M-YDGP,"Order Payment","Product charges",,"$29.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,26-Mar-16,113-6322679-0570632,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,"$0.00 ",,,,,,,,,,
,-$4.09,-$3.62,-$4.50,26-Mar-16,002-3389584-2510618,22-Q94M-YDGP,"Order Payment","Product charges",,"$29.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,26-Mar-16,104-6880137-7346645,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,26-Mar-16,102-3217018-3160252,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,26-Mar-16,106-8966224-1664212,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,26-Mar-16,112-1689274-6818623,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$24.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$8.69,-$7.05,26-Mar-16,102-4866493-0413009,IM-VFRS-GRIO,"Order Payment","Product charges",,"$46.99 ",1,"Humanscale Zon Air Purifier in Red",,,,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,26-Mar-16,002-6852257-6356216,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,26-Mar-16,106-1053440-2253020,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,26-Mar-16,110-8605803-9845040,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
,-$4.09,-$3.62,-$4.50,26-Mar-16,109-4642115-0874659,22-Q94M-YDGP,"Order Payment","Product charges",,"$29.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,-$4.09,-$3.62,-$4.50,25-Mar-16,108-2442289-9434635,22-Q94M-YDGP,"Order Payment","Product charges",,"$29.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,-$4.09,-$4.01,-$2.25,25-Mar-16,102-9847091-0605051,3Y-2VGV-AZ21,"Order Payment","Product charges",,"$29.99 ",1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,-$15.00,,,,,,,,,,
