MLB City,MLB Team,NBA City,NBA Team,NHL City,NHL Team,NFL City,NFL Team
Baltimore,Orioles,Boston,Celtics,Anaheim,Ducks,Buffalo,Bills
Los Angeles,Dodgers,Brooklyn,Nets,Chicago,Blackhawks,Miami,Dolphins
Washington,Nationals,New York,Knicks,Carolina,Hurricanes,New England,Patriots
Arizona,Diamondbacks,Philadelphia,76ers,Boston,Bruins,New York,Jets
San Diego,Padres,Toronto,Raptors,Buffalo,Sabres,Cincinnati,Bengals
Toronto,Blue Jays,Chicago,Bulls,Detroit,Red Wings,Cleveland,Browns
Chicago,Cubs,Cleveland,Cavaliers,Florida,Panthers,Pittsburgh,Steelers
Colorado,Rockies,Detroit,Pistons,Montreal,Canadiens,Indianapolis,Colts
Houston,Astros,Indiana,Pacers,Ottawa,Senators,Jacksonville,Jaguars
Milwaukee,Brewers,Milwaukee,Bucks,Tampa Bay,Lightning,Tennessee,Titans
Cleveland,Indians,Atlanta,Hawks,Toronto,Maple Leafs,Kansas City,Chiefs
Kansas City,Royals,Charlotte,Hornets,Columbus,Blue Jackets,Oakland,Raiders
St Louis,Cardinals,Miami,Heat,New Jersey,Devils,San Diego,Chargers
Chicago,White Sox,Orlando,Magic,New York,Islanders,Dallas,Cowboys
Boston,Red Sox,Washington,Wizards,New York,Rangers,New York,Giants
Seattle,Mariners,Dallas,Mavericks,Philadelphia,Flyers,Philadelphia,Eagles
Philadelphia,Phillies,Houston,Rockets,Pittsburgh,Penguins,Washington,Redskins
New York,Mets,Memphis,Grizzlies,Washington,Capitals,Detroit,Lions
Atlanta,Braves,New Orleans,Pelicans,Arizona,Coyotes,Green Bay,Packers
San Francisco,Giants,San Antonio,Spurs,Calgary,Flames,Minnesota,Vikings
Oakland,Athletics,Denver,Nuggets,Edmonton,Oilers,Carolina,Panthers
New York,Yankees,Minnesota,Timberwolves,Los Angeles,Kings,New Orleans,Saints
Miami,Marlins,Oklahoma City,Thunder,San Jose,Sharks,Tampa Bay,Buccaneers
Cincinnati,Reds,Portland,Trail Blazers,Vancouver,Canucks,Los Angeles,Rams
Minnesota,Twins,Utah,Jazz,Colorado,Avalanche,San Francisco,49ers
Detroit,Tigers,Golden State,Warriors,Dallas,Stars,Seattle,Seahawks
Los Angeles,Angels,Los Angeles,Clippers,Minnesota,Wild,Denver,Broncos
Texas,Rangers,Los Angeles,Lakers,Nashville,Predators,Chicago,Bears
Pittsburgh,Pirates,Phoenix,Suns,St. Louis,Blues,Atlanta,Falcons
Tampa Bay,Rays,Sacramento,Kings,Winnipeg,Jets,Arizona,Cardinals
,,,,,,Baltimore,Ravens
,,,,,,Houston,Texans
