"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price","Amazon fees - Shipping Chargeback",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Other - Shipping","Promo rebates - ","Promo rebates - Shipping","Amazon fees - FBA transportation fee","Amazon fees - Shipping commission"
-$1.00,-$1.06,-$0.96,-$1.80,-$11.23,31-May-16,002-5990967-2102630,GK-51IE-0Z62,"Order Payment","Product charges",,$11.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",$11.23,,,,
-$1.00,-$1.06,-$1.95,-$2.85,,31-May-16,111-3628594-4454652,SUA-790-PPK,"Order Payment","Product charges",,$18.99,1,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72",,,,,
-$1.00,-$1.06,-$0.96,-$3.00,-$6.13,31-May-16,102-7150939-0265041,CW-OXZZ-VE7M,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)",$6.13,,,,
,,,-$3.45,,31-May-16,108-8861275-4068203,41-GI3Q-UMAK,"Order Payment","Product charges",,$22.99,1,"Geometric Style Water Resistant Printed Jumbo Canvas Beach Bag with Inner Wet Suit Pocket - Assorted Colors (Blue Squares)",,,,,
,,,-$9.75,,31-May-16,105-9826236-8072251,CF-TEVC-5FHU,"Order Payment","Product charges",,$64.99,1,"Mizone Glitter Reversible Printed Plush Comforter Mini Set - Black, Full / Queen",,,,,
,,,-$4.50,,31-May-16,107-3325923-0130660,70-FVIS-6TNP,"Order Payment","Product charges",,$29.97,3,"Anti Slip Bathtub Shower Mat - Assorted Colors (clear)",,,,,
,,,-$1.20,,31-May-16,105-7938672-6865865,NC-MU4S-M0SS,"Order Payment","Product charges",,$7.99,1,"Cuispro Snap-Fit Pop Molds: 6 Rocket and 6 Boat shapes",,,,,
,,,-$3.45,,31-May-16,107-3874752-1765008,F1W-L69-RQW,"Order Payment","Product charges",,$22.98,1,"Elegant Comfort Penelopie Jacquard Look Curtain Panel Set, 54 by 84-Inch, Beige, Set of 2",,,,,
-$1.00,-$1.06,-$4.29,-$2.55,,30-May-16,102-6021050-7808260,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",,,,,
,-$12.27,-$7.35,-$4.50,,30-May-16,116-7851295-1026641,A7A-6FG-MTL,"Order Payment","Product charges",,$19.98,2,"CHECK BOARD HALF MOON SLICE RUG - GREEN",,,,,
-$1.00,-$1.06,-$0.96,-$3.00,,30-May-16,114-2934493-2831430,MD-86QZ-5W4G,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)",$1.19,$0.00,-$1.19,,
-$1.00,-$1.06,-$0.96,-$1.80,-$3.78,30-May-16,104-3157847-0770622,GK-51IE-0Z62,"Order Payment","Product charges",,$11.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",$3.78,,,,
-$1.00,-$1.06,-$1.95,-$2.85,,29-May-16,103-5764692-5820245,SUA-790-PPK,"Order Payment","Product charges",,$18.99,1,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72",,,,,
-$1.00,-$1.06,-$2.34,-$1.65,,29-May-16,104-9137954-3317831,0W-I967-F2HV,"Order Payment","Product charges",,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)",,,,,
-$1.00,-$3.18,-$5.85,-$5.34,,29-May-16,107-2636280-0677848,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",,,,,
-$1.00,-$1.06,-$0.50,-$1.05,,28-May-16,112-3173626-9894650,CA0-038-BBP,"Order Payment","Product charges",,$6.99,1,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)",,,,,
,-$4.09,-$3.62,-$3.75,,28-May-16,102-9049955-0122648,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",$2.42,$0.00,-$2.42,,
-$1.00,-$1.06,-$0.96,-$2.85,,28-May-16,112-5222893-8354632,0I-XXS3-8MCZ,"Order Payment","Product charges",,$18.99,1,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Gold)",,,,,
-$1.00,-$1.06,-$0.96,-$3.75,,28-May-16,115-4285195-2777019,7W-PCJO-3BVK,"Order Payment","Product charges",,$24.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)",,,,,
-$1.00,-$1.06,-$1.95,-$1.78,,27-May-16,107-9932759-1623402,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",,,,,
-$1.00,-$1.06,-$0.96,-$1.80,-$8.99,27-May-16,111-4876069-6708225,GK-51IE-0Z62,"Order Payment","Product charges",,$11.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",$8.99,,,,
,,,-$1.00,,27-May-16,104-7164406-0309869,0B-682D-5E7G,"Order Payment","Product charges",,$3.99,1,"Disney Finding Nemo Friends Cupcake Rings - 24 ct",,,,,
,,,-$6.90,,27-May-16,106-1402992-2631448,DB-DLER-1WBY,"Order Payment","Product charges",,$22.99,1,"Geometric Shape Water Resistant Printed Jumbo Canvas Beach Bag with Inner Wet Suit Pocket - Assorted Colors (Green Squares)",,,,,
-$4.75,-$0.75,,,,,,,,,,,,,,,,-$0.45,
-$1.00,-$1.06,-$0.96,-$3.00,,27-May-16,108-2798182-8681060,MD-86QZ-5W4G,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)",,,,,
-$1.00,-$1.06,-$0.96,-$2.85,,26-May-16,002-2633218-1412229,0I-XXS3-8MCZ,"Order Payment","Product charges",,$18.99,1,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Gold)",,,,,
-$4.75,-$0.75,,,,,,,,,,,,,,,,-$0.45,
,,,-$1.00,,26-May-16,103-0574698-6918645,CF-EMV0-5CEM,"Order Payment","Product charges",,$3.70,1,"12 Cupcake Toppers Rings Dora the Explorer Boots Gemstones Party Decorations",,,,,
-$1.00,-$1.06,-$1.95,-$2.85,,25-May-16,113-6147332-4535405,SUA-790-PPK,"Order Payment","Product charges",,$18.99,1,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72",,,,,
-$1.00,-$1.06,-$0.96,-$1.80,,25-May-16,108-9905636-9141046,35-4SHX-Y2N9,"Order Payment","Product charges",,$11.99,1,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Gold,)",,$0.00,,,
-$1.00,-$1.06,-$0.96,-$1.65,,25-May-16,002-8051548-9195448,CM-W5HY-8L8C,"Order Payment","Product charges",,$10.99,1,"Bioworld Adventure Time Mountain Cinch Bag 13"", Blue/White",,,,,
,-$4.09,-$3.62,-$3.75,,25-May-16,104-6332549-8378623,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,
-$1.00,-$1.06,-$3.51,-$1.65,,25-May-16,110-4649250-3365047,13-PAI1-IANH,"Order Payment","Product charges",,$10.99,1,"Bioworld Regular Show Mordecai Hooded Blue Backpack",,,,,
,-$4.09,-$3.62,-$4.18,,25-May-16,116-7220203-0320262,XHW-EVD-506,"Order Payment","Product charges",,$27.89,1,"Feel At Ease Mat 24 x 36 -",,,,,
-$1.00,-$2.12,-$3.90,-$3.56,,25-May-16,111-7620015-7709022,VG6-VKY-SRF,"Order Payment","Product charges",,$23.70,2,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",,,,,
-$1.00,-$1.06,-$0.96,-$1.80,,24-May-16,113-1645045-0373029,GK-51IE-0Z62,"Order Payment","Product charges",,$11.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",,,,,
-$1.00,-$2.12,-$1.92,-$3.60,,24-May-16,115-7474080-1165862,Q0-OA97-BH2V,"Order Payment","Product charges",,$11.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,
-$4.75,-$0.75,,,,,,,,,,,,,,,,-$0.45,
-$1.00,-$1.06,-$0.96,-$3.00,,24-May-16,114-3087824-2803452,86-XBMI-Q597,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Gold )",,,,,
-$1.00,-$1.06,-$0.96,-$2.85,,23-May-16,107-6168932-0871429,0I-XXS8-8MCZ,"Order Payment","Product charges",,$18.99,1,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Silver,)",,,,,
-$1.00,-$1.06,-$0.96,-$2.85,-$3.99,23-May-16,116-8060665-1552246,58-PK5O-DVBE,"Order Payment","Product charges",,$18.99,1,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Blue,)",$3.99,,,,
,-$4.09,-$4.01,-$6.00,,23-May-16,105-3561232-6372205,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"D&S Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,,,
-$1.00,-$1.06,-$0.96,-$3.00,,23-May-16,115-5880334-4205805,CW-OXZZ-VE7M,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)",,,,,
,-$4.09,-$3.62,-$4.50,-$3.26,23-May-16,114-9113806-5493832,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"D&S 18.5-Inch-by-11.5-Inch-by-3.5-Inch Contour Bamboo Memory Foam Pillow",$3.26,,,,
,,,-$3.45,,23-May-16,107-2122168-1509865,41-GI3Q-UMAK,"Order Payment","Product charges",,$22.99,1,"Geometric Style Water Resistant Printed Jumbo Canvas Beach Bag with Inner Wet Suit Pocket - Assorted Colors (Blue Squares)",,,,,
,,,-$1.50,,23-May-16,104-8001031-9377840,70-FVIS-6TNP,"Order Payment","Product charges",,$9.99,1,"Anti Slip Bathtub Shower Mat - Assorted Colors (clear)",,,,,
,,,-$1.50,,23-May-16,113-2484743-8948235,B5C-KQ1-I2Q,"Order Payment","Product charges",,$9.99,1,"La Bella Hand Carved Turkish 562 Gold/Beige 4 Feet X 6 Feet Contemporary Area Rug",,,,,
,,,-$4.50,,23-May-16,108-2483612-1357044,D4M-SO7-762,"Order Payment","Product charges",,$29.99,1,"Sunbeam Dual Shower Massager and Head Set with Rainfall Setting, Chrome",$5.54,,,,-$0.83
,,,-$2.55,,23-May-16,107-9730418-7429042,2H-FGMO-4THC,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Forrest Green)",,,,,
,,,-$1.80,,23-May-16,102-3877905-1909803,NG-ZK8N-5OFN,"Order Payment","Product charges",,$11.99,1,"The Walking Dead Men's Lounge Pants (Small 28-30)",,,,,
,,,-$6.75,,23-May-16,111-3075162-4457837,2H-FAZS-4VMR,"Order Payment","Product charges",,$44.97,3,"17"" x 24"" Ultra Soft Memory Foam Comfort Bath Mat (Orange)",,,,,
,,,-$2.85,,23-May-16,104-9364750-6453004,HMR-UM4-V1X,"Order Payment","Product charges",,$18.99,1,"DOUBLE SWAG SHOWER CURTAIN, LINER & RINGS , Rose Pink",,,,,
