Date,Order ID,SKU,Transaction type,Payment Type,Payment Detail,Amount,Quantity,Product Title
31-May-16,002-5990967-2102630,GK-51IE-0Z62,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
31-May-16,002-5990967-2102630,GK-51IE-0Z62,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
31-May-16,002-5990967-2102630,GK-51IE-0Z62,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
31-May-16,002-5990967-2102630,GK-51IE-0Z62,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.80,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
31-May-16,002-5990967-2102630,GK-51IE-0Z62,Order Payment,Amazon fees,Shipping Chargeback,-$11.23,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
31-May-16,002-5990967-2102630,GK-51IE-0Z62,Order Payment,Product charges,,$11.99,1,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
31-May-16,002-5990967-2102630,GK-51IE-0Z62,Order Payment,Other,Shipping,$11.23,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
31-May-16,111-3628594-4454652,SUA-790-PPK,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
31-May-16,111-3628594-4454652,SUA-790-PPK,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
31-May-16,111-3628594-4454652,SUA-790-PPK,Order Payment,Amazon fees,FBA Weight Handling Fee,-$1.95,,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
31-May-16,111-3628594-4454652,SUA-790-PPK,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.85,,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
31-May-16,111-3628594-4454652,SUA-790-PPK,Order Payment,Product charges,,$18.99,1,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
31-May-16,102-7150939-0265041,CW-OXZZ-VE7M,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)
31-May-16,102-7150939-0265041,CW-OXZZ-VE7M,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)
31-May-16,102-7150939-0265041,CW-OXZZ-VE7M,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)
31-May-16,102-7150939-0265041,CW-OXZZ-VE7M,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.00,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)
31-May-16,102-7150939-0265041,CW-OXZZ-VE7M,Order Payment,Amazon fees,Shipping Chargeback,-$6.13,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)
31-May-16,102-7150939-0265041,CW-OXZZ-VE7M,Order Payment,Product charges,,$19.99,1,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)
31-May-16,102-7150939-0265041,CW-OXZZ-VE7M,Order Payment,Other,Shipping,$6.13,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)
31-May-16,108-8861275-4068203,41-GI3Q-UMAK,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.45,,Geometric Style Water Resistant Printed Jumbo Canvas Beach Bag with Inner Wet Suit Pocket - Assorted Colors (Blue Squares)
31-May-16,108-8861275-4068203,41-GI3Q-UMAK,Order Payment,Product charges,,$22.99,1,Geometric Style Water Resistant Printed Jumbo Canvas Beach Bag with Inner Wet Suit Pocket - Assorted Colors (Blue Squares)
31-May-16,105-9826236-8072251,CF-TEVC-5FHU,Order Payment,Amazon fees,Referral Fee on Item Price,-$9.75,,"Mizone Glitter Reversible Printed Plush Comforter Mini Set - Black, Full / Queen"
31-May-16,105-9826236-8072251,CF-TEVC-5FHU,Order Payment,Product charges,,$64.99,1,"Mizone Glitter Reversible Printed Plush Comforter Mini Set - Black, Full / Queen"
31-May-16,107-3325923-0130660,70-FVIS-6TNP,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Anti Slip Bathtub Shower Mat - Assorted Colors (clear)
31-May-16,107-3325923-0130660,70-FVIS-6TNP,Order Payment,Product charges,,$29.97,3,Anti Slip Bathtub Shower Mat - Assorted Colors (clear)
31-May-16,105-7938672-6865865,NC-MU4S-M0SS,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.20,,Cuispro Snap-Fit Pop Molds: 6 Rocket and 6 Boat shapes
31-May-16,105-7938672-6865865,NC-MU4S-M0SS,Order Payment,Product charges,,$7.99,1,Cuispro Snap-Fit Pop Molds: 6 Rocket and 6 Boat shapes
31-May-16,107-3874752-1765008,F1W-L69-RQW,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.45,,"Elegant Comfort Penelopie Jacquard Look Curtain Panel Set, 54 by 84-Inch, Beige, Set of 2"
31-May-16,107-3874752-1765008,F1W-L69-RQW,Order Payment,Product charges,,$22.98,1,"Elegant Comfort Penelopie Jacquard Look Curtain Panel Set, 54 by 84-Inch, Beige, Set of 2"
30-May-16,102-6021050-7808260,BX-YPD9-FBE5,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)"
30-May-16,102-6021050-7808260,BX-YPD9-FBE5,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)"
30-May-16,102-6021050-7808260,BX-YPD9-FBE5,Order Payment,Amazon fees,FBA Weight Handling Fee,-$4.29,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)"
30-May-16,102-6021050-7808260,BX-YPD9-FBE5,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.55,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)"
30-May-16,102-6021050-7808260,BX-YPD9-FBE5,Order Payment,Product charges,,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)"
30-May-16,116-7851295-1026641,A7A-6FG-MTL,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$12.27,,CHECK BOARD HALF MOON SLICE RUG - GREEN
30-May-16,116-7851295-1026641,A7A-6FG-MTL,Order Payment,Amazon fees,FBA Weight Handling Fee,-$7.35,,CHECK BOARD HALF MOON SLICE RUG - GREEN
30-May-16,116-7851295-1026641,A7A-6FG-MTL,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,CHECK BOARD HALF MOON SLICE RUG - GREEN
