Date,Order ID,SKU,Transaction type,Payment Type,Payment Detail,Amount,Quantity,Product Title
30-Jun-16,111-6793187-6711429,796-O5Z-5NP,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,111-6793187-6711429,796-O5Z-5NP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$2.12,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,111-6793187-6711429,796-O5Z-5NP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$5.46,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,111-6793187-6711429,796-O5Z-5NP,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.16,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,111-6793187-6711429,796-O5Z-5NP,Order Payment,Product charges,,$10.50,1,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,111-6793187-6711429,796-O5Z-5NP,Order Payment,Product charges,,$10.50,1,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,109-4110049-0269835,796-O5Z-5NP,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,109-4110049-0269835,796-O5Z-5NP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,109-4110049-0269835,796-O5Z-5NP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$2.73,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,109-4110049-0269835,796-O5Z-5NP,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.58,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,109-4110049-0269835,796-O5Z-5NP,Order Payment,Product charges,,$10.50,1,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,103-4789184-2991456,796-O5Z-5NP,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,103-4789184-2991456,796-O5Z-5NP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,103-4789184-2991456,796-O5Z-5NP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$2.73,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,103-4789184-2991456,796-O5Z-5NP,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.58,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,103-4789184-2991456,796-O5Z-5NP,Order Payment,Product charges,,$10.50,1,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
30-Jun-16,109-5216874-7501866,7W-PCJO-3BVK,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
30-Jun-16,109-5216874-7501866,7W-PCJO-3BVK,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
30-Jun-16,109-5216874-7501866,7W-PCJO-3BVK,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
