"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - Shipping Chargeback","Other - Shipping","Promo rebates - ","Promo rebates - Shipping","Amazon fees - FBA transportation fee","Amazon fees - Shipping commission"
-$1.00,-$2.12,-$5.46,-$3.16,30-Jun-16,111-6793187-6711429,796-O5Z-5NP,"Order Payment","Product charges",,$10.50,1,"1 Ball 64oz Wide Mouth Half Gallon Mason Jar",,,,,,
-$1.00,-$1.06,-$2.73,-$1.58,30-Jun-16,109-4110049-0269835,796-O5Z-5NP,"Order Payment","Product charges",,$10.50,1,"1 Ball 64oz Wide Mouth Half Gallon Mason Jar",,,,,,
-$1.00,-$1.06,-$2.73,-$1.58,30-Jun-16,103-4789184-2991456,796-O5Z-5NP,"Order Payment","Product charges",,$10.50,1,"1 Ball 64oz Wide Mouth Half Gallon Mason Jar",,,,,,
-$1.00,-$1.06,-$0.96,-$3.75,30-Jun-16,109-5216874-7501866,7W-PCJO-3BVK,"Order Payment","Product charges",,$24.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)",,,,,,
,-$8.18,-$5.68,-$7.46,30-Jun-16,102-6334696-4085824,YN2-YR1-G4J,"Order Payment","Product charges",,$49.78,2,"Home Dynamix Feel At Ease Mat 24"" x 36""",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,29-Jun-16,105-7046651-3428227,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",-$3.99,$3.99,,,,
,-$4.09,-$3.62,-$4.50,28-Jun-16,115-1854649-7997002,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"D&S 18.5-Inch-by-11.5-Inch-by-3.5-Inch Contour Bamboo Memory Foam Pillow",,$2.53,$0.00,-$2.53,,
,,,-$2.25,28-Jun-16,103-2663072-9841829,L9O-HV2-209,"Order Payment","Product charges",,$14.99,1,"Home Basics Over The Counter Hairdryer Holder",,,,,,
,,,-$8.25,28-Jun-16,106-0860492-1381845,VO6-KH8-U2Q,"Order Payment","Product charges",,$54.99,1,"Oster 8-Speed Blender",,,,,,
,,,-$8.25,28-Jun-16,104-5559851-8225040,VO6-KH8-U2Q,"Order Payment","Product charges",,$54.99,1,"Oster 8-Speed Blender",,,,,,
-$4.75,-$0.75,,,,,,,,,,,,,,,,-$0.45,
-$4.75,-$0.75,,,,,,,,,,,,,,,,-$0.45,
-$1.00,-$1.06,-$0.96,-$2.85,28-Jun-16,113-0429716-3185049,58-PK5O-DVBE,"Order Payment","Product charges",,$18.99,1,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Blue,)",,,,,,
,,,-$3.60,28-Jun-16,106-9297911-3328212,67-OY4J-U1J7,"Order Payment","Product charges",,$23.98,2,"The Walking Dead Men's Lounge Pants (Large 36-38)",,,,,,
,,,-$3.60,28-Jun-16,108-9231519-1458664,8A-5HQC-9TXJ,"Order Payment","Product charges",,$23.98,2,"Heavy Duty Window Clear Vinyl Tabel Cover (60"" x 90"" Oval)",,,,,,
,,,-$2.85,28-Jun-16,114-0497833-9665856,HMR-UM4-V1X,"Order Payment","Product charges",,$18.99,1,"DOUBLE SWAG SHOWER CURTAIN, LINER & RINGS , Rose Pink",,,,,,
,,,-$3.00,28-Jun-16,115-0126741-4363449,F9-A7O4-Y0BX,"Order Payment","Product charges",,$19.98,2,"Anti Slip Bathtub Shower Mat - Assorted Colors (yellow)",,,,,,
,,,-$1.88,28-Jun-16,105-3516426-1531438,58-DDQT-DY4N,"Order Payment","Product charges",,$12.50,1,"Hanes Women's T-Shirt Underwire Bra, Nude,38B",,,,,,
-$1.00,-$1.06,-$0.96,-$3.00,28-Jun-16,106-3665085-0257806,CW-OY03-VE7M,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Pink)",,,,,,
,-$4.09,-$3.62,-$3.75,28-Jun-16,102-5933738-8522661,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.72,$4.72,,,,
-$1.00,-$1.06,-$2.73,-$1.58,28-Jun-16,002-4720409-9385064,796-O5Z-5NP,"Order Payment","Product charges",,$10.50,1,"1 Ball 64oz Wide Mouth Half Gallon Mason Jar",,,,,,
