Date,Order ID,SKU,Transaction type,Payment Type,Payment Detail,Amount,Quantity,Product Title
18-Apr-16,108-5087027-1856213,9G-CDVH-T2B4,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.00,,DecoPac How to Train Your Dragon 2 Hiccup and Friends Cupcake Rings (12 Count)
18-Apr-16,108-5087027-1856213,9G-CDVH-T2B4,Order Payment,Product charges,,$3.98,2,DecoPac How to Train Your Dragon 2 Hiccup and Friends Cupcake Rings (12 Count)
18-Apr-16,107-2182773-1293019,2H-FGMO-4THC,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.55,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Forrest Green)"
18-Apr-16,107-2182773-1293019,2H-FGMO-4THC,Order Payment,Product charges,,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Forrest Green)"
18-Apr-16,104-1102082-2466646,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$8.18,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
18-Apr-16,104-1102082-2466646,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Weight Handling Fee,-$7.24,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
18-Apr-16,104-1102082-2466646,BQ-4FEP-C3OH,Order Payment,Amazon fees,Referral Fee on Item Price,-$9.00,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
18-Apr-16,104-1102082-2466646,BQ-4FEP-C3OH,Order Payment,Product charges,,$59.98,2,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
18-Apr-16,104-1102082-2466646,BQ-4FEP-C3OH,Order Payment,Promo rebates,,$0.00,2,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
18-Apr-16,104-1102082-2466646,BQ-4FEP-C3OH,Order Payment,Promo rebates,Shipping,-$6.49,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
18-Apr-16,104-1102082-2466646,BQ-4FEP-C3OH,Order Payment,Other,Shipping,$6.49,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
18-Apr-16,113-7492529-8437847,Q0-OA97-BH2V,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
18-Apr-16,113-7492529-8437847,Q0-OA97-BH2V,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$2.12,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
18-Apr-16,113-7492529-8437847,Q0-OA97-BH2V,Order Payment,Amazon fees,FBA Weight Handling Fee,-$1.00,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
18-Apr-16,113-7492529-8437847,Q0-OA97-BH2V,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
18-Apr-16,113-7492529-8437847,Q0-OA97-BH2V,Order Payment,Product charges,,$29.98,2,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
18-Apr-16,113-7492529-8437847,Q0-OA97-BH2V,Order Payment,Promo rebates,,$0.00,2,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
18-Apr-16,113-7492529-8437847,Q0-OA97-BH2V,Order Payment,Promo rebates,Shipping,-$2.08,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
18-Apr-16,113-7492529-8437847,Q0-OA97-BH2V,Order Payment,Other,Shipping,$2.08,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
18-Apr-16,109-0423078-3013065,3Y-2VGV-AZ21,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
18-Apr-16,109-0423078-3013065,3Y-2VGV-AZ21,Order Payment,Amazon fees,FBA Weight Handling Fee,-$4.01,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
18-Apr-16,109-0423078-3013065,3Y-2VGV-AZ21,Order Payment,Amazon fees,Referral Fee on Item Price,-$6.00,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
18-Apr-16,109-0423078-3013065,3Y-2VGV-AZ21,Order Payment,Amazon fees,Shipping Chargeback,-$10.02,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
18-Apr-16,109-0423078-3013065,3Y-2VGV-AZ21,Order Payment,Product charges,,$39.99,1,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
18-Apr-16,109-0423078-3013065,3Y-2VGV-AZ21,Order Payment,Other,Shipping,$10.02,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
18-Apr-16,105-7259317-6757065,Q3-3IFR-V1ZN,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Humanscale Zon Air Purifier in White
18-Apr-16,105-7259317-6757065,Q3-3IFR-V1ZN,Order Payment,Amazon fees,FBA Weight Handling Fee,-$8.30,,Humanscale Zon Air Purifier in White
18-Apr-16,105-7259317-6757065,Q3-3IFR-V1ZN,Order Payment,Amazon fees,Referral Fee on Item Price,-$6.75,,Humanscale Zon Air Purifier in White
18-Apr-16,105-7259317-6757065,Q3-3IFR-V1ZN,Order Payment,Product charges,,$44.99,1,Humanscale Zon Air Purifier in White
18-Apr-16,105-7259317-6757065,Q3-3IFR-V1ZN,Order Payment,Promo rebates,,$0.00,1,Humanscale Zon Air Purifier in White
18-Apr-16,115-6274552-3122627,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$8.18,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
18-Apr-16,115-6274552-3122627,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Weight Handling Fee,-$7.24,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
18-Apr-16,115-6274552-3122627,BQ-4FEP-C3OH,Order Payment,Amazon fees,Referral Fee on Item Price,-$9.00,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
18-Apr-16,115-6274552-3122627,BQ-4FEP-C3OH,Order Payment,Product charges,,$59.98,2,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,109-0121144-2902679,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,109-0121144-2902679,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,109-0121144-2902679,BQ-4FEP-C3OH,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,109-0121144-2902679,BQ-4FEP-C3OH,Order Payment,Product charges,,$29.99,1,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,115-9041282-6193023,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$8.18,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,115-9041282-6193023,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Weight Handling Fee,-$7.24,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,115-9041282-6193023,BQ-4FEP-C3OH,Order Payment,Amazon fees,Referral Fee on Item Price,-$9.00,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,115-9041282-6193023,BQ-4FEP-C3OH,Order Payment,Product charges,,$29.99,1,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,115-9041282-6193023,BQ-4FEP-C3OH,Order Payment,Product charges,,$29.99,1,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,110-4715282-5600209,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,110-4715282-5600209,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,110-4715282-5600209,BQ-4FEP-C3OH,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,110-4715282-5600209,BQ-4FEP-C3OH,Order Payment,Product charges,,$29.99,1,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,112-2687052-8376241,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,112-2687052-8376241,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,112-2687052-8376241,BQ-4FEP-C3OH,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,112-2687052-8376241,BQ-4FEP-C3OH,Order Payment,Product charges,,$29.99,1,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
17-Apr-16,102-6352905-4540269,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
17-Apr-16,102-6352905-4540269,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
17-Apr-16,102-6352905-4540269,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
17-Apr-16,102-6352905-4540269,22-Q94M-YDGP,Order Payment,Product charges,,$29.99,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
17-Apr-16,106-5518689-7312255,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
17-Apr-16,106-5518689-7312255,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
17-Apr-16,106-5518689-7312255,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
17-Apr-16,106-5518689-7312255,22-Q94M-YDGP,Order Payment,Product charges,,$29.99,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
17-Apr-16,106-5518689-7312255,22-Q94M-YDGP,Order Payment,Promo rebates,,$0.00,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
17-Apr-16,106-5518689-7312255,22-Q94M-YDGP,Order Payment,Promo rebates,Shipping,-$2.52,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
17-Apr-16,106-5518689-7312255,22-Q94M-YDGP,Order Payment,Other,Shipping,$2.52,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
16-Apr-16,102-7704372-4426658,3Y-2VGV-AZ21,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
16-Apr-16,102-7704372-4426658,3Y-2VGV-AZ21,Order Payment,Amazon fees,FBA Weight Handling Fee,-$4.01,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
16-Apr-16,102-7704372-4426658,3Y-2VGV-AZ21,Order Payment,Amazon fees,Referral Fee on Item Price,-$6.00,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
16-Apr-16,102-7704372-4426658,3Y-2VGV-AZ21,Order Payment,Product charges,,$39.99,1,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
16-Apr-16,116-2389148-0332234,32-P5XA-EGJY,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (teal)
