"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - FBA transportation fee","Amazon fees - Shipping Chargeback","Other - Shipping","Promo rebates - ","Amazon fees - Shipping commission","Promo rebates - Shipping"
-$1.00,-$1.06,-$0.50,-$1.00,30-Apr-16,109-4953175-0640258,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$1.00,-$1.06,-$0.50,-$1.00,30-Apr-16,114-1635398-7091437,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$1.00,-$2.12,-$1.92,-$6.00,30-Apr-16,106-5962335-3461802,CW-OY03-VE7M,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Pink)",,,,,,
-$1.00,-$1.06,-$0.50,-$1.00,30-Apr-16,106-9741370-6059453,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$1.00,-$1.06,-$0.50,-$1.00,30-Apr-16,115-2430206-3013816,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$1.00,-$1.06,-$0.96,-$3.45,30-Apr-16,113-8277592-0732267,7W-PCJM-3BVK,"Order Payment","Product charges",,$22.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)",,,,,,
-$1.00,-$1.06,-$0.50,-$1.00,30-Apr-16,102-0488490-1749842,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$1.00,-$1.06,-$4.29,-$2.55,30-Apr-16,107-7980019-5450658,RO-6RXH-KT8V,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Ivory)",,,,,,
,-$4.09,-$3.62,-$4.50,30-Apr-16,104-5450043-0071414,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
-$1.00,-$1.06,-$0.50,-$1.00,30-Apr-16,107-5226973-9901836,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$1.00,-$1.06,-$0.50,-$1.00,29-Apr-16,108-1859518-6937017,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$1.00,-$4.24,-$2.00,-$4.00,29-Apr-16,109-7986901-0244221,6NH-FQV-FRP,"Order Payment","Product charges",,$22.20,4,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$1.00,-$1.06,-$0.50,-$1.00,29-Apr-16,113-3357945-1721813,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$4.75,-$0.75,,,,,,,,,,,,-$0.45,,,,,
-$1.00,-$3.18,-$1.50,-$3.00,29-Apr-16,111-8283221-7564233,6NH-FQV-FRP,"Order Payment","Product charges",,$16.65,3,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
-$4.75,-$0.75,,,,,,,,,,,,-$0.45,,,,,
-$1.00,-$2.12,-$1.00,-$2.00,29-Apr-16,108-3018229-1193819,6NH-FQV-FRP,"Order Payment","Product charges",,$11.10,2,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,,
,-$4.09,-$4.01,-$6.00,29-Apr-16,106-4818027-4129809,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,,,,
